id,repeat,ari,assigned_ari,coverage,same_k,noise_agreement,error
350,3,0.9124354412923327,0.9124354412923327,1.0,True,1.0,
350,4,0.8853775592099239,0.8853775592099239,1.0,True,1.0,
350,5,0.8390381167493034,0.8390381167493034,1.0,True,1.0,
350,6,0.8804018910780477,0.8804018910780477,1.0,True,1.0,
350,7,1.0,1.0,1.0,True,1.0,
350,8,0.8642799819832591,0.8642799819832591,1.0,True,1.0,
350,9,0.833699381698735,0.833699381698735,1.0,True,1.0,
350,10,0.8498309646167644,0.8498309646167644,1.0,True,1.0,
350,11,0.8946797364009911,0.8946797364009911,1.0,True,1.0,
350,12,0.9825177862970191,0.9825177862970191,1.0,True,1.0,
350,13,0.9829703569514051,0.9829703569514051,1.0,True,1.0,
350,14,0.9044893542587034,0.9044893542587034,1.0,True,1.0,
350,15,0.9316500547283171,0.9316500547283171,1.0,True,1.0,
350,16,0.9336137986124997,0.9336137986124997,1.0,True,1.0,
350,17,0.9190663440859992,0.9190663440859992,1.0,True,1.0,
350,18,0.8843247102258665,0.8843247102258665,1.0,True,1.0,
350,19,0.9636907499666862,0.9636907499666862,1.0,True,1.0,
71,0,0.9422960991836422,0.9422960991836422,1.0,True,1.0,
71,1,0.9497360871936907,0.9497360871936907,1.0,True,1.0,
71,2,0.9867968970741425,0.9867968970741425,1.0,True,1.0,
71,3,0.8328698213114462,0.8328698213114462,1.0,True,1.0,
71,4,0.7974637827218347,0.7974637827218347,1.0,True,1.0,
71,5,0.9289824078564413,0.9289824078564413,1.0,True,1.0,
71,6,0.9699241429364135,0.9699241429364135,1.0,True,1.0,
71,7,0.9480438888389243,0.9480438888389243,1.0,True,1.0,
71,8,0.8876658019272666,0.8876658019272666,1.0,True,1.0,
71,9,0.8925535641730984,0.8925535641730984,1.0,True,1.0,
71,10,0.9232237503621521,0.9232237503621521,1.0,True,1.0,
71,11,0.9032236379118423,0.9032236379118423,1.0,True,1.0,
71,12,0.9143122840740837,0.9143122840740837,1.0,True,1.0,
71,13,0.8200169297780477,0.8200169297780477,1.0,True,1.0,
71,14,0.941496845065799,0.941496845065799,1.0,True,1.0,
71,15,0.7457222684851229,0.7457222684851229,1.0,True,1.0,
71,16,0.8077517354048236,0.8077517354048236,1.0,True,1.0,
71,17,0.8898231450199966,0.8898231450199966,1.0,True,1.0,
71,18,0.8745555578158323,0.8745555578158323,1.0,True,1.0,
71,19,0.8159237612874364,0.8159237612874364,1.0,True,1.0,
44,0,0.9490032579062975,0.9490032579062975,1.0,True,1.0,
44,1,0.7798399093597017,0.7798399093597017,1.0,True,1.0,
44,2,0.9118559881419523,0.9118559881419523,1.0,True,1.0,
44,3,0.9290337349536227,0.9290337349536227,1.0,True,1.0,
44,4,0.8522973893391604,0.8522973893391604,1.0,True,1.0,
44,5,0.9157982914130144,0.9157982914130144,1.0,True,1.0,
44,6,0.9121576739244736,0.9121576739244736,1.0,True,1.0,
44,7,0.9187179073890718,0.9187179073890718,1.0,True,1.0,
44,8,0.8632604690099855,0.8632604690099855,1.0,True,1.0,
44,9,0.9276156527736521,0.9276156527736521,1.0,True,1.0,
44,10,0.8954823666861698,0.8954823666861698,1.0,True,1.0,
44,11,0.9274014687718767,0.9274014687718767,1.0,True,1.0,
44,12,0.8952840859901202,0.8952840859901202,1.0,True,1.0,
44,13,0.9288471853782292,0.9288471853782292,1.0,True,1.0,
44,14,0.7920659821778575,0.7920659821778575,1.0,True,1.0,
44,15,0.9486566707453618,0.9486566707453618,1.0,True,1.0,
44,16,0.9658774593035366,0.9658774593035366,1.0,True,1.0,
44,17,0.9464505312866378,0.9464505312866378,1.0,True,1.0,
44,18,0.9484548813404134,0.9484548813404134,1.0,True,1.0,
44,19,0.8811309133269954,0.8811309133269954,1.0,True,1.0,
435,0,0.9891869629738197,1.0,0.925,True,0.9875,
435,1,0.5976630297041773,0.7750715161422149,0.8125,True,0.86875,
435,2,0.9223896385468437,1.0,0.85625,False,0.9125,
435,3,0.8863325024141571,1.0,0.925,True,0.9375,
435,4,0.947642974953013,1.0,0.875,False,0.91875,
435,5,0.848770279933271,0.8800351496873261,0.925,True,0.96875,
