id,scope,representation,family,params,status,warning,bic,aic,k,coverage,min_size,max_size,silhouette,ref_silhouette,db,ch,penalized,eligible
408,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""complete"", ""n_clusters"": 10}",ok,,,,10,1.0,4,75,0.44270076156052346,0.4362423010851845,0.801521992753449,212.85331149356173,0.4362423010851845,False
409,behavior,behavior/minmax/cat=0.5,Agglomerative,"{""linkage"": ""average"", ""n_clusters"": 10}",ok,,,,10,1.0,3,79,0.4765789662230154,0.4780801211040961,0.7854640540284565,220.6120559351087,0.4780801211040961,False
410,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 10, ""n_neighbors"": 10}",ok,"Graph is not fully connected, spectral embedding may not work as expected.",,,10,1.0,11,27,0.3789744069941864,0.3589660099843799,0.9047277444494931,193.27196091264935,0.3589660099843799,True
411,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 10, ""n_neighbors"": 20}",ok,,,,10,1.0,14,24,0.3775333561014735,0.3607617007601512,0.936381388662063,194.05473909167029,0.3607617007601512,True
412,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 10, ""threshold"": 0.2}",ok,Number of subclusters found (4) by BIRCH is less than (10). Decrease the threshold.,,,4,1.0,35,88,0.42489722779469047,0.42009143297105594,0.9054176896314312,158.02624230116587,0.42009143297105594,True
413,behavior,behavior/minmax/cat=0.5,Birch,"{""n_clusters"": 10, ""threshold"": 0.5}",ok,Number of subclusters found (1) by BIRCH is less than (10). Decrease the threshold.,,,1,1.0,200,200,,,,,-inf,False
414,behavior,behavior/minmax/cat=0.5,DBSCAN,"{""eps"": 0.03472541574588514, ""min_samples"": 4}",ok,,,,6,0.52,4,74,0.6352371671985371,0.6189765634147447,0.352807139317425,129.06328185894944,0.13897656341474474,False
415,behavior,behavior/minmax/cat=0.5,DBSCAN,"{""eps"": 0.051020408163265515, ""min_samples"": 4}",ok,,,,7,0.685,5,79,0.475832088781601,0.4777185564333439,0.5667062073817722,200.0218195565794,0.16271855643334393,False
416,behavior,behavior/minmax/cat=0.5,DBSCAN,"{""eps"": 0.07377049180327824, ""min_samples"": 4}",ok,,,,7,0.905,3,88,0.5229724984391011,0.5208251119547967,0.5298338179876904,215.964869578854,0.4258251119547968,False
417,behavior,behavior/minmax/cat=0.5,DBSCAN,"{""eps"": 0.09927911260072775, ""min_samples"": 4}",ok,,,,2,0.935,33,154,0.4044695580761792,0.3945114443526878,0.7576626267332662,85.87489910997772,0.32951144435268787,True
