id,scope,representation,family,params,status,warning,bic,aic,k,coverage,min_size,max_size,silhouette,ref_silhouette,db,ch,penalized,eligible,ari_median,ari_p10,ari_p90,assigned_ari,subsample_coverage,same_k_rate,valid_repeats,final_score
1053,all_features,all_features/standard/cat=0.25,HDBSCAN,"{""cluster_selection_method"": ""eom"", ""min_cluster_size"": 15, ""min_samples"": 3}",ok,,,,2,0.91,38,144,0.2662994740141018,0.2424451103264537,1.1711008943961703,53.71642801680843,0.15244511032645372,True,0.8661172421269627,0.35211735786417664,0.9602072463301301,1.0,0.878125,0.6,20,0.13236269664549813
1047,all_features,all_features/standard/cat=0.25,HDBSCAN,"{""cluster_selection_method"": ""eom"", ""min_cluster_size"": 10, ""min_samples"": 3}",ok,,,,2,0.91,38,144,0.2662994740141018,0.2424451103264537,1.1711008943961703,53.71642801680843,0.15244511032645372,True,0.8333324249325826,0.2234262678901272,0.9602072463301301,0.9836900128694761,0.871875,0.55,20,0.12744497406634112
36,behavior,behavior/standard/cat=0.5,KMeans,"{""n_clusters"": 5}",ok,,,,5,1.0,22,81,0.5546571631111091,0.5546571631111091,0.5722356162263352,248.64932001536357,0.5546571631111091,True,0.9916771259970292,0.9299560363618492,1.0,0.9916771259970292,1.0,1.0,20,0.5534087320106635
342,behavior,behavior/minmax/cat=0.5,KMeans,"{""n_clusters"": 5}",ok,,,,5,1.0,22,81,0.5594854531227246,0.5546571631111091,0.5722356162263352,248.64932001536357,0.5546571631111091,True,0.9812963846733471,0.9637878357827142,1.0,0.9812963846733471,1.0,1.0,20,0.5518516208121111
40,behavior,behavior/standard/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 5}",ok,,1047.0296157420944,984.3615857776817,5,1.0,21,80,0.5538037318866426,0.5538037318866426,0.5660709937568531,247.03498240285842,0.5538037318866426,True,0.983156645329361,0.9809837210817033,1.0,0.983156645329361,1.0,1.0,20,0.5512772286860467
193,behavior,behavior/robust/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 5}",ok,,761.3362477327526,698.6682177683399,5,1.0,21,80,0.5513423884423995,0.5538037318866426,0.5660709937568531,247.03498240285847,0.5538037318866426,True,0.983156645329361,0.9809837210817033,1.0,0.983156645329361,1.0,1.0,20,0.5512772286860467
46,behavior,behavior/standard/cat=0.5,Birch,"{""n_clusters"": 5, ""threshold"": 0.2}",ok,,,,5,1.0,21,85,0.5538089226688662,0.5538089226688662,0.5778621190740154,244.41032586596825,0.5538089226688662,True,0.974698901982253,0.876880236682676,1.0,0.974698901982253,1.0,1.0,20,0.5500137579662041
41,behavior,behavior/standard/cat=0.5,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 5}",ok,,,,5,1.0,21,85,0.5538089226688662,0.5538089226688662,0.5778621190740154,244.41032586596822,0.5538089226688662,True,0.9658851349215178,0.8350738775851926,1.0,0.9658851349215178,1.0,1.0,20,0.5486916929070939
350,behavior,behavior/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 5, ""n_neighbors"": 10}",ok,"Graph is not fully connected, spectral embedding may not work as expected.",,,5,1.0,22,78,0.555406370162198,0.5519530013851748,0.5684697080478647,247.61212972924986,0.5519530013851748,True,0.8995845453298472,0.8487516798300183,0.9846733212562646,0.8995845453298472,1.0,1.0,20,0.5368906831846518
195,behavior,behavior/robust/cat=0.5,Agglomerative,"{""linkage"": ""complete"", ""n_clusters"": 5}",ok,,,,5,1.0,21,85,0.5504067343690165,0.5538089226688662,0.5778621190740154,244.41032586596822,0.5538089226688662,True,0.782438942892499,0.5576139172084057,0.9691482273731459,0.782438942892499,1.0,1.0,20,0.521174764102741
71,behavior,behavior/standard/cat=0.5,Birch,"{""n_clusters"": 7, ""threshold"": 0.5}",ok,,,,7,1.0,8,78,0.5217453976247375,0.5217453976247375,0.7144033378762247,246.0256390235008,0.5217453976247375,True,0.8978886010424704,0.8067229401365247,0.951754892767963,0.8978886010424704,1.0,1.0,20,0.5064286877811081
44,behavior,behavior/standard/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 5, ""n_neighbors"": 10}",ok,"Graph is not fully connected, spectral embedding may not work as expected.",,,5,1.0,25,70,0.5165588970675562,0.5165588970675562,0.6082432461820882,231.19339599539265,0.5165588970675562,True,0.9172580994010431,0.8462742486230301,0.9486913294614553,0.9172580994010431,1.0,1.0,20,0.5041476119777126
435,behavior,behavior/minmax/cat=0.5,HDBSCAN,"{""cluster_selection_method"": ""eom"", ""min_cluster_size"": 10, ""min_samples"": 3}",ok,,,,5,0.945,12,96,0.5445042297348375,0.5318122680553301,0.5437828889176484,220.61800502256617,0.47681226805533006,True,0.9309319227487027,0.8448344340292875,0.9894875917682499,1.0,0.890625,0.65,20,0.4664520564676355
129,behavior,behavior/standard/cat=0.5,HDBSCAN,"{""cluster_selection_method"": ""eom"", ""min_cluster_size"": 10, ""min_samples"": 3}",ok,,,,6,0.92,12,96,0.5024240906957799,0.5024240906957799,0.627337455333822,187.9687869529197,0.4224240906957799,True,0.8570207934167576,0.7555419258559961,0.9528650966813526,0.9698941295717258,0.88125,0.1,20,0.40097720970829354
418,behavior,behavior/minmax/cat=0.5,DBSCAN,"{""eps"": 0.13032031397860805, ""min_samples"": 4}",ok,,,,2,0.97,36,158,0.39068062594263747,0.38457358305879286,0.8026726623326216,85.41370268833685,0.35457358305879283,True,0.9779331651921652,0.8286665418094744,1.0,1.0,0.9625,0.85,20,0.3512635578376176
422,behavior,behavior/minmax/cat=0.5,DBSCAN,"{""eps"": 0.1275431494876152, ""min_samples"": 7}",ok,,,,2,0.96,36,156,0.39930623038286805,0.39334539480061714,0.7912987417819037,88.89777100771217,0.3533453948006171,True,0.80264338091474,0.6627928374840647,0.9778462228085841,0.8153327086626364,0.940625,0.45,20,0.3237419019378281
660,behavior_age,behavior_age/robust/cat=0.5,KMeans,"{""n_clusters"": 6}",ok,,,,6,1.0,21,45,0.4276464786969933,0.429210925806494,0.829744880158842,134.98602313043446,0.429210925806494,True,0.9800470576268732,0.9468511478054961,1.0,0.9800470576268732,1.0,1.0,20,0.426217984450525
813,behavior_age,behavior_age/minmax/cat=0.5,KMeans,"{""n_clusters"": 6}",ok,,,,6,1.0,19,45,0.4234860620777653,0.429349250175091,0.8357280178824272,132.47909948489786,0.429349250175091,True,0.9415753236867973,0.8994377436670639,1.0,0.9415753236867973,1.0,1.0,20,0.4205855487281106
511,behavior_age,behavior_age/standard/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 6}",ok,,1597.3661153532864,1501.7149117233935,6,1.0,21,47,0.42434086738340343,0.42434086738340343,0.8166339096722441,129.68509692031398,0.42434086738340343,True,0.9261809317410807,0.5650917147351515,0.986012265383801,0.9261809317410807,1.0,1.0,20,0.4132680071445655
664,behavior_age,behavior_age/robust/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 6}",ok,,1160.7160422929135,1065.0648386630205,6,1.0,21,47,0.4224175939489897,0.42434086738340343,0.8166339096722441,129.685096920314,0.42434086738340343,True,0.9007230524376879,0.5414604196872975,0.9485025044283856,0.9007230524376879,1.0,1.0,20,0.40944932524905664
665,behavior_age,behavior_age/robust/cat=0.5,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 6}",ok,,,,6,1.0,20,57,0.41973713353766234,0.421511051653861,0.8538656236702101,122.26444619315708,0.421511051653861,True,0.8897453243435334,0.7844916059532827,0.9456633194132676,0.8897453243435334,1.0,1.0,20,0.404972850305391
689,behavior_age,behavior_age/robust/cat=0.5,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 8}",ok,,,,8,1.0,9,39,0.4213734204851876,0.4241278745477992,0.8046161403170922,124.39257363203701,0.4241278745477992,True,0.8537007439186295,0.7823878758177718,0.9030251496259566,0.8537007439186295,1.0,1.0,20,0.4021829861355936
833,behavior_age,behavior_age/minmax/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 7, ""n_neighbors"": 10}",ok,,,,7,1.0,19,39,0.40875092616756237,0.411226116377353,0.7984041866034884,128.20123955607207,0.411226116377353,True,0.9378098253174377,0.9042621643487508,0.9729048257513639,0.9378098253174377,1.0,1.0,20,0.4018975901749687
527,behavior_age,behavior_age/standard/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 7, ""n_neighbors"": 10}",ok,,,,7,1.0,20,39,0.4101875389419191,0.4101875389419191,0.7966145883531681,128.21166263048931,0.4101875389419191,True,0.9413673309298403,0.9054107163706188,0.961528595937284,0.9413673309298403,1.0,1.0,20,0.4013926385813952
517,behavior_age,behavior_age/standard/cat=0.5,Birch,"{""n_clusters"": 6, ""threshold"": 0.2}",ok,,,,6,1.0,17,45,0.41233905535759086,0.41233905535759086,0.8416144586311928,126.51694442233399,0.41233905535759086,True,0.8691404855490755,0.791920397407199,0.9262047650115377,0.8691404855490755,1.0,1.0,20,0.3927101281899522
518,behavior_age,behavior_age/standard/cat=0.5,Birch,"{""n_clusters"": 6, ""threshold"": 0.5}",ok,,,,6,1.0,21,48,0.42822680370980465,0.42822680370980465,0.8396267489260961,130.19540801662905,0.42822680370980465,True,0.7614575112271945,0.6394628205529678,0.8773014490319065,0.7614575112271945,1.0,1.0,20,0.3924454303938838
906,behavior_age,behavior_age/minmax/cat=0.5,HDBSCAN,"{""cluster_selection_method"": ""eom"", ""min_cluster_size"": 20, ""min_samples"": 3}",ok,,,,2,0.92,38,146,0.2603403687445937,0.2746263136519018,1.0413980520789907,59.59864627435509,0.19462631365190186,True,0.9395821403280421,0.7538655516897808,0.9728515374135148,1.0,0.903125,0.9,20,0.18556363470110818
600,behavior_age,behavior_age/standard/cat=0.5,HDBSCAN,"{""cluster_selection_method"": ""eom"", ""min_cluster_size"": 20, ""min_samples"": 3}",ok,,,,2,0.91,38,144,0.27587116782835275,0.2758711678283528,1.0381225855988154,59.871599603543835,0.18587116782835283,True,0.8622557755434388,0.3453810294051272,0.945695302090536,1.0,0.871875,0.75,20,0.16520953415986867
