iter	Passed	Remaining
730	1047	385
731	1048	383
732	1050	382
733	1051	381
734	1052	379
735	1054	378
736	1055	376
737	1057	375
738	1058	374
739	1060	372
740	1061	371
741	1062	369
742	1064	368
743	1065	366
744	1066	365
745	1068	363
746	1069	362
747	1070	360
748	1072	359
749	1074	358
750	1075	356
751	1077	355
752	1078	353
753	1079	352
754	1081	350
755	1082	349
756	1083	347
757	1085	346
758	1086	344
759	1088	343
760	1089	342
761	1091	340
762	1092	339
763	1093	337
764	1095	336
765	1096	334
766	1097	333
767	1099	332
768	1100	330
769	1101	329
770	1103	327
771	1105	326
772	1106	325
773	1108	323
774	1109	322
775	1111	320
776	1112	319
777	1113	317
778	1115	316
779	1116	314
780	1117	313
781	1119	312
782	1120	310
783	1122	309
784	1123	307
785	1125	306
786	1126	304
787	1127	303
788	1128	301
789	1130	300
790	1131	298
791	1132	297
792	1134	296
793	1135	294
794	1137	293
795	1139	291
796	1140	290
797	1141	289
798	1143	287
799	1144	286
800	1145	284
801	1147	283
802	1148	281
803	1149	280
804	1151	278
805	1153	277
806	1155	276
807	1156	274
808	1157	273
809	1159	271
810	1160	270
811	1161	268
812	1163	267
813	1164	266
814	1165	264
815	1167	263
816	1168	261
817	1170	260
818	1171	258
819	1173	257
820	1174	256
821	1175	254
822	1177	253
823	1178	251
824	1179	250
825	1180	248
826	1182	247
827	1184	245
828	1185	244
829	1187	243
830	1188	241
831	1189	240
832	1191	238
833	1192	237
834	1193	235
835	1195	234
836	1196	232
837	1197	231
838	1199	230
839	1201	228
840	1203	227
841	1204	226
842	1206	224
843	1207	223
844	1208	221
845	1209	220
846	1211	218
847	1212	217
848	1214	215
849	1215	214
850	1217	213
851	1219	211
852	1220	210
853	1221	208
854	1223	207
855	1224	205
856	1225	204
857	1226	203
858	1228	201
859	1229	200
860	1231	198
861	1232	197
862	1234	195
863	1235	194
864	1237	193
865	1238	191
866	1239	190
867	1240	188
868	1242	187
869	1243	185
870	1244	184
871	1246	182
872	1247	181
873	1249	180
874	1251	178
875	1253	177
876	1254	175
877	1255	174
878	1257	173
879	1258	171
880	1259	170
881	1260	168
882	1262	167
883	1264	165
884	1265	164
885	1267	163
886	1268	161
887	1269	160
888	1271	158
889	1272	157
890	1273	155
891	1275	154
892	1276	152
893	1277	151
894	1279	150
895	1281	148
896	1282	147
897	1284	145
898	1285	144
899	1286	142
900	1288	141
901	1289	140
902	1291	138
903	1292	137
904	1293	135
905	1295	134
906	1297	133
907	1298	131
908	1299	130
909	1301	128
910	1302	127
911	1303	125
912	1305	124
913	1306	122
914	1307	121
915	1309	120
916	1310	118
917	1312	117
918	1314	115
919	1315	114
920	1317	112
921	1318	111
922	1319	110
923	1321	108
924	1322	107
925	1323	105
926	1324	104
927	1326	102
928	1328	101
929	1329	100
930	1331	98
931	1332	97
932	1333	95
933	1335	94
934	1336	92
935	1337	91
936	1339	90
937	1340	88
938	1341	87
939	1343	85
940	1345	84
941	1346	82
942	1347	81
943	1349	80
944	1350	78
945	1352	77
946	1353	75
947	1354	74
948	1356	72
949	1357	71
950	1359	70
951	1360	68
952	1362	67
953	1363	65
954	1365	64
955	1366	62
956	1367	61
957	1369	60
958	1370	58
959	1371	57
960	1373	55
961	1374	54
962	1376	52
963	1378	51
964	1379	50
965	1380	48
966	1382	47
967	1383	45
968	1384	44
969	1386	42
970	1387	41
971	1388	40
972	1390	38
973	1391	37
974	1393	35
975	1395	34
976	1396	32
977	1397	31
978	1398	30
979	1400	28
980	1401	27
981	1402	25
982	1404	24
983	1405	22
984	1407	21
985	1408	20
986	1410	18
987	1412	17
988	1413	15
989	1414	14
990	1416	12
991	1417	11
992	1418	10
993	1420	8
994	1421	7
995	1423	5
996	1424	4
997	1426	2
998	1427	1
999	1428	0
